  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0002367,Delle dellitti et delle pene [Dei delitti e delle pene],,,Permitted work (permission simple)
spbk0002424,"Vie (la) de Marianne, ou les Aventures de madame la comtesse de ***",,,Permitted work (permission simple)
spbk0002429,Epitome vitarum Plutarchi,,,Permitted work (permission simple)
spbk0002445,"Publii Virgilii Maronis opera, cum perpetua interpretatione Stirling et notis, etc ",,,Permitted work (permission simple)
spbk0002445,Virgilii (P.) Maronis opera omnia,,,Permitted work (permission simple)
spbk0002445,"Oeuvres de Virgile, trad.es [traduites] en français par l'abbé Desfontaines",,,Permitted work (permission simple)
spbk0002445,"Virgile latin et français, traduction de S. Rémi",,,Permitted work (permission simple)
spbk0002500,Voyages du capitaine Gulliver,,,Permitted work (permission simple)
spbk0002560,"Fables de Phaedre, latin et français",,,Permitted work (permission simple)
spbk0002573,"Histoires choisies des auteurs profanes, latin et français",,,Permitted work (permission simple)
spbk0002695,Dictionnaire portatif de santé,,,Permitted work (permission simple)
spbk0002700,"Malheurs (Les) de l'inconstance, ou Lettres e la marqise de Sircé et du comte de Mirabelle",,,Permitted work (permission simple)
spbk0002818,"Aventures (les) de Telemaques [sic], en anglais",,,Permitted work (permission simple)
spbk0002877,De officiis libri tres,,,Permitted work (permission simple)
spbk0002877,Offices de Cicéron (les) avec les livres de l'amitié et de la vieillesse en latin,,,Permitted work (permission simple)
spbk0002891,Abrégé de l'Histoire romaine,,,Permitted work (permission simple)
spbk0002922,Dictionnaire des anecdotes,,,Permitted work (permission simple)
spbk0002953,"Edelzinde, fille d'Amalazonte, reine des Goths",,,Permitted work (permission simple)
spbk0002969,Histoire de Gil Blas de Santillane,,,Permitted work (permission simple)
spbk0002991,Onanisme (l') de M Tissot,,,Permitted work (permission simple)
spbk0002995,Arithmétique de Barême,,,Permitted work (permission simple)
spbk0003081,Oeuvres de Molière,,,Permitted work (permission simple)
spbk0003184,"Tableau de l'histoire moderne depuis la chute de l'empire d'occident jusqu'à la paix de Westphalie, par le chevalier de Méhégan",,,Permitted work (permission simple)
spbk0003186,Oeuvres de Crébillon,,,Permitted work (permission simple)
spbk0003348,"Hypolite, comte de Duglas",,,Permitted work (permission simple)
spbk0003411,Oeuvres de Chaulieu,,,Permitted work (permission simple)
spbk0003421,Vie (de la) et des actions d'Alexandre le Grand,,,Permitted work (permission simple)
spbk0003576,Oeuvres de Boileau,,,Permitted work (permission simple)
spbk0003638,Essai[s] de Montagne,,,Permitted work (permission simple)
spbk0003735,"Ovidii (Publii) Nasonis Metamorphoseon, libri",,,Permitted work (permission simple)
spbk0003789,Anecdote[s],,,Permitted work (permission simple)
spbk0003793,Epicteti Enchiridion,,,Permitted work (permission simple)
spbk0003889,"Cecilia, ou Mémoires d'un[e] héritière",,,Permitted work (permission simple)
spbk0003933,"Oeuvres complètes de Plutarque, etc",,,Permitted work (permission simple)
spbk0003976,"Apparat royal, dictionnaire françois et latin",,,Permitted work (permission simple)
spbk0004002,Oeuvres de Bernard,,,Permitted work (permission simple)
spbk0004046,Mort (la) d'Abel de Gesner,,,Permitted work (permission simple)
spbk0004073,Comptes faits de Barême,,,Permitted work (permission simple)
spbk0004088,Cornelius Nepos,,,Permitted work (permission simple)
