  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0010184,Heures dédiées à madame la princesse,,,Permitted work (permission simple)
spbk0010185,Heures dédiées à monseigneur le dauphin,,,Permitted work (permission simple)
spbk0010186,"Heures dédiées au roi contenant les prières du matin, etc",,,Permitted work (permission simple)
spbk0010187,Heures dédiées au sacré coeur de Jésus,,,Permitted work (permission simple)
spbk0010188,"Heures des congrégations de la sainte vierge à l'usage du diocèse de Besançon, etc ",,,Permitted work (permission simple)
spbk0010189,Heures nouvelles,,,Permitted work (permission simple)
spbk0010190,Heures nouvelles à l'usage de Rome et d'Amiens,,,Permitted work (permission simple)
spbk0010191,Heures nouvelles à l'usage des congrégations de notre dame,,,Permitted work (permission simple)
spbk0010192,Heures nouvelles contenant les offices qui se disent à l'église pendant l'année en latin et en françois,,,Permitted work (permission simple)
spbk0010193,Heures nouvelles d'école,,,Permitted work (permission simple)
spbk0010195,Heures nouvelles dédiées à la reine,,,Permitted work (permission simple)
spbk0010196,Heures nouvelles dédiées à l'enfant Jésus,,,Permitted work (permission simple)
spbk0010197,Heures nouvelles dédiées à madame la chancellière,,,Permitted work (permission simple)
spbk0010198,Heures nouvelles dédiées à madame la dauphine,,,Permitted work (permission simple)
spbk0010199,Heures nouvelles dédiées à notre dame des hermites,,,Permitted work (permission simple)
spbk0010200,"Heures nouvelles dédiées à S. A. R. Madame, etc",,,Permitted work (permission simple)
spbk0010201,"Heures nouvelles, ou Prières choisies pour rendre la journée sainte",,,Permitted work (permission simple)
spbk0010202,Heures pour la confrérie du saint-sacrement en l'église de Pont-à-Mousson,,,Permitted work (permission simple)
spbk0010203,"Heures royales, ou Offices de l'église",,,Permitted work (permission simple)
spbk0010204,"Heures royales, ou Recueil de prières",,,Permitted work (permission simple)
spbk0010205,Histoire abrégée de l'ancien testament à l'usage des écoles,,,Permitted work (permission simple)
spbk0010206,Histoire abrégée du nouveau testament où sont contenues les principales actions de la vie de notre seigneur Jésus Christ pour la jeunesse chrétienne,,,Permitted work (permission simple)
spbk0010207,Histoire de la Ste [sainte] jeunesse de notre S.J.C. [Seigneur Jésus Christ],,,Permitted work (permission simple)
spbk0010208,Histoire de la vie de notre seigneur Jésus Christ,,,Permitted work (permission simple)
spbk0010209,"Histoire de l'ancien et du nouveau testament et des Juifs, pour servir d'introduction à l'histoire ecclésiastique de Fleury, par D. Calmet",,,Permitted work (permission simple)
spbk0010210,Histoire de l'église gallicane,,,Permitted work (permission simple)
spbk0010211,"Histoire de l'image miraculeuse de notre dame de Sion en Lorraine, avec une pratique de dévotion, par le père Trouillot",,,Permitted work (permission simple)
spbk0010212,Histoire de Malte,,,Permitted work (permission simple)
spbk0010213,Histoire de Saint Françoix Xavier,,,Permitted work (permission simple)
spbk0010214,"Histoire de Théodose le grand, par Fléchier",,,Permitted work (permission simple)
spbk0010215,"Histoire des amours de Théagène et de Chariclée, traduit du grec d'Héliodore par Jacques Amyot",,,Permitted work (permission simple)
spbk0010216,"Histoire des révolutions d'Angleterre, par le père d'Orléans",,,Permitted work (permission simple)
spbk0010217,"Histoire du vieux et du nouveau testament, de Royaumont, avec figures",,,Permitted work (permission simple)
spbk0010219,"Histoire romaine traduite de l'anglais, de Laurent Echard",,,Permitted work (permission simple)
spbk0010220,"Histoires choisies, ou Livre d'exemples tirés de l'écriture, etc",,,Permitted work (permission simple)
spbk0010221,"Histoires des variations, de Bossuet",,,Permitted work (permission simple)
spbk0010222,"Histoires édifantes et curieuses, tirées de meilleurs auteurs, avec des rflexions morales, etc",,,Permitted work (permission simple)
spbk0010223,Histoires et paraboles du père Bonaventure,,,Permitted work (permission simple)
spbk0010224,"Historia et concordia evangelica, etc",,,Permitted work (permission simple)
spbk0010225,Historiae ex libris Ciceronis de promptae,,,Permitted work (permission simple)
spbk0010226,Historiae ex M.T. Ciceronis operibus exerptae,,,Permitted work (permission simple)
spbk0010227,Historiae romanae breviarium,,,Permitted work (permission simple)
spbk0010228,Historiae romanae res memorabiles,,,Permitted work (permission simple)
spbk0010229,"Honi soit qui mal y pense, ou Histoire des filles célèbres du dix-huitième siècle",,,Permitted work (permission simple)
spbk0010230,Horatii (Q.) Flacci carmina expurgata,,,Permitted work (permission simple)
spbk0010231,Il faut mourir,,,Permitted work (permission simple)
spbk0010232,Il Pastor fido de cavalieri Guardini,,,Permitted work (permission simple)
spbk0010233,Il Pastor fido del signor Batista Guarini,,,Permitted work (permission simple)
spbk0010234,"Illustres Françaises (les), histoire véritable",,,Permitted work (permission simple)
spbk0010235,Imperator. Institutionum sinopsis,,,Permitted work (permission simple)
spbk0010236,Indiculus universalis,,,Permitted work (permission simple)
spbk0010237,"Institution du droit de légitime, par M. Roussille",,,Permitted work (permission simple)
spbk0010238,"Institutions du quartier de réduction, par La Cordière",,,Permitted work (permission simple)
spbk0010239,Institutionum imperatoris Justiniani compendium ad usum,,,Permitted work (permission simple)
spbk0010240,Instruction sur les dispositions qu'on doit apporter aux sacremens de Pénitence et d'eucharistie,,,Permitted work (permission simple)
spbk0010241,"Instruction[s] sur les dimanches et fêtes en général, par M.P.C.",,,Permitted work (permission simple)
spbk0010242,Instructions  et prières chrétiennes à l'usage des pensionnaires des Ursulines,,,Permitted work (permission simple)
spbk0010243,Instructions abrégées sur les devoirs et les exercices du chrétien,,,Permitted work (permission simple)
spbk0010244,"Instructions chrétiennes de la jeunesse en la pieté, tirées de l'écriture sainte et des saints pères, par Charles Gobinet, 1e et 2de parties",,,Permitted work (permission simple)
spbk0010245,Instructions chrétiennes en formes [sic] de lecture et de méditation [i.e. L'Ame élevée á dieu],,,Permitted work (permission simple)
spbk0010246,Instructions chrétiennes pour la première communion,,,Permitted work (permission simple)
spbk0010247,Instructions chrétiennes pour les jeunes gens,,,Permitted work (permission simple)
spbk0010248,"Instructions chrétiennes sur les principales actions de la journée, par le père Beaufils, avec l'ord.re [l'ordinaire] de la messe",,,Permitted work (permission simple)
spbk0010249,Instructions de la jeunesse,,,Permitted work (permission simple)
spbk0010250,"Instructions du pilote, par La Cordière",,,Permitted work (permission simple)
spbk0010251,"Instructions et prières po. [?pour] la sinate messe, pour la confession et la communion, par J. B. La Salle, instituteur des écoles chrétiennes  ",,,Permitted work (permission simple)
spbk0010252,Instructions familières sur l'oraison mentale,,,Permitted work (permission simple)
spbk0010253,"Instructions familières, dogmatiques et morales sur les quatre parties de la doctrine chrétienne, par M. Henri, curé de Surice",,,Permitted work (permission simple)
spbk0010255,"Instructions générales en forme de cathéchisme, par M Colbert,évêque de Montpellier",,,Permitted work (permission simple)
spbk0010256,"Instructions pour la confirmation, etc, par Regnault",,,Permitted work (permission simple)
spbk0010257,"Instructions pour les dimanches et fêtes de l'année imprimées par ordre de M. François duc de Fitjames [Fitz-James], évêque de Soissons",,,Permitted work (permission simple)
spbk0010258,"Instructions sur la première communion, par M. l'abbé Renault",,,Permitted work (permission simple)
spbk0010259,"Instructions sur les conventions, ou Notions simples sur les engagements qu'on peut parler dans la société",,,Permitted work (permission simple)
spbk0010260,Instructions sur les fonctions du ministère pastoral,,,Permitted work (permission simple)
spbk0010261,"Instructions sur les principales vérités de la religion et sur les principaux devoirs du Christianisme, par l'évêque de Toul",,,Permitted work (permission simple)
spbk0010263,Instructions sur les procés verbaux de saisie pour le tabac du 9 mars 1731,,,Permitted work (permission simple)
spbk0010264,"Introduction à la vie dévote, de saint François de Salle",,,Permitted work (permission simple)
spbk0010265,"Introduction à la vie intérieure, avec un traité sur le bonheur de l'âme qui a trouvé dieu dans l'oraison, etc., etc",,,Permitted work (permission simple)
spbk0010266,"Introduction auz saints ministères, par M Maugin",,,Permitted work (permission simple)
spbk0010267,"Jardin des racines grecques (pe), par MM. de Port Royal",,,Permitted work (permission simple)
spbk0010268,Jardinier solitaire,,,Permitted work (permission simple)
spbk0010269,"Jésus Christ, le modèle des chrétiens",,,Permitted work (permission simple)
spbk0010270,"Jo. Gottl. Heineccii jure consulti quondam celeberrimi, etc. etc. etc.",,,Permitted work (permission simple)
spbk0010271,Journal chrétien,,,Permitted work (permission simple)
spbk0010272,"Journal des saints et Méditations, par le p. Grosex",,,Permitted work (permission simple)
spbk0010273,Journée chrétienne: ou l'on trouvera des regles pour vivre saintement dans tous les états & dans toutes les conditions,,,Permitted work (permission simple)
spbk0010274,Journée sainte (La),,,Permitted work (permission simple)
spbk0010275,Jurisprudence civile de La Combe,,,Permitted work (permission simple)
spbk0010276,Juvenalis (D. Junii) Satyrae omni obscenitate expurgatae,,,Permitted work (permission simple)
spbk0010277,Juvenalis et Persii satirae,,,Permitted work (permission simple)
spbk0010278,"Filli di Sciro (La), favola pastorale, del conte Guido Ubaldo de Bonarelli [I Filli d Sciro]",,,Permitted work (permission simple)
spbk0010279,Pratique (la) de l'amour de dieu et de notre seigneur J.C. [Jésus Christ],,,Permitted work (permission simple)
spbk0010280,"Sechia [Secchia] rupita (la), del signore Alessandro Tassoni",,,Permitted work (permission simple)
spbk0010281,Voix (la) de la nature,,,Permitted work (permission simple)
spbk0010282,"Aimable mère (l') de Jésus, par Doubeilh",,,Permitted work (permission simple)
spbk0010283,"Ame (l') embrasée de l'amour divin, par son union aux sacrés coeurs de Jésus et Marie, etc",,,Permitted work (permission simple)
spbk0010284,"Ame (l') pénitente, ou le Nouveaux pensez-y bien: considération[s] sur les vérités éternelles",,,Permitted work (permission simple)
spbk0010285,Ame (l') religieuse élevééee à la perfection,,,Permitted work (permission simple)
spbk0010286,"Ame (l') sanctifée, ou la Religion pratique pour la perfection de toutes les actions de la vie",,,Permitted work (permission simple)
spbk0010287,"Ame (l') seule avec dien, avec l'Ame intérieure",,,Permitted work (permission simple)
spbk0010288,"Ame (l') sur le calvaire trouvant aux pieds de la croix, etc",,,Permitted work (permission simple)
spbk0010289,Art(l') d'instruire et de toucher les âmes dans le tribunal de la pénitence,,,Permitted work (permission simple)
spbk0010290,Lazari Riverii profess. med. Montpel. [Montpellier] opera medica universa ,,,Permitted work (permission simple)
spbk0010291,Directeur spirituel (le) des âmes dévotes et religieuses tiré des écrits de saint François de Sales,,,Permitted work (permission simple)
spbk0010292,"Jardinier (le) portatif, ou la Culture des quatre classes de l'éducation des fleurs",,,Permitted work (permission simple)
spbk0010293,"Jardinier (le) fleuriste pour la culture universalle des fleurs, par M. Leger [sic]",,,Permitted work (permission simple)
spbk0010294,Livre (le) du chrétien,,,Permitted work (permission simple)
spbk0010295,Paradis (le) de âmes xtiennes [chrétiennes],,,Permitted work (permission simple)
spbk0010296,"Voyage (le) du pasteur de la nuit de noël, par dom Jean Palafoy, Evêq.e [évêque]",,,Permitted work (permission simple)
spbk0010297,"Lettres familières (les) de Cicéron, avec les lettres de Pline, lat. et fran.",,,Permitted work (permission simple)
spbk0010298,Règles de la bienséance (les) et de la civilité chrétienne,,,Permitted work (permission simple)
spbk0010299,Sages entretiens (les) d'une âme qui aime son salut,,,Permitted work (permission simple)
spbk0010300,Saisons (les) de Thompson,,,Permitted work (permission simple)
spbk0010301,"Lettres de Cicéron à Atticus, traduites par l'abbé Mongault",,,Permitted work (permission simple)
spbk0010302,Lettres historiques et galantes de madame Du Noyer,,,Permitted work (permission simple)
spbk0010303,"Hypocrite (l') démasqué, ou Félix et Colombe",,,Permitted work (permission simple)
spbk0010304,"Illustre malheureuse (l'), ou la Comtesse de Jannissanta",,,Permitted work (permission simple)
spbk0010305,Imitation (l') de la trés sainte vierge,,,Permitted work (permission simple)
spbk0010306,"Italia (l') liberata da['] Goti, poema del Giangiorgio Trissino",,,Permitted work (permission simple)
spbk0010307,"Livre de prières des juifs allemands, imprimé en hébreu",,,Permitted work (permission simple)
spbk0010308,Livre (le) des enfans,,,Permitted work (permission simple)
spbk0010309,"Livre des enfants, ou Idées générales des définitions des choses",,,Permitted work (permission simple)
spbk0010310,"Livre pour apprendre à bien lire le français avec les principes de la langue, etc",,,Permitted work (permission simple)
spbk0010311,"Lois des bâtiments suivant la coutume de Paris, par Desgodets, avec les notes de Goupy",,,Permitted work (permission simple)
spbk0010312,Lucain,,,Permitted work (permission simple)
spbk0010313,Luciani opera,,,Permitted work (permission simple)
spbk0010314,"Ludovici Dureti Segusiani interpretationes et enarrationes in magni Hyp[p]ocratis Coacas pr[a]enotiones, curante, qui et praefationem adjecit Adriano Peleryn Chrou[h]et, med. doct.",,,Permitted work (permission simple)
spbk0010315,Lusus allegoricus,,,Permitted work (permission simple)
spbk0010316,Manoeuvre des vaisseaux,,,Permitted work (permission simple)
spbk0010317,Manuel de dévotion,,,Permitted work (permission simple)
spbk0010318,Manuel des grammairiens,,,Permitted work (permission simple)
spbk0010319,Manuel du chrétien pour les temps des missions,,,Permitted work (permission simple)
spbk0010320,"Manuel du chrétien, contenant le livre des psaumes, le Nouveau testament et l'Imitation de Jésus Christ, avec l'ordre [ordinaire] de la messe",,,Permitted work (permission simple)
spbk0010321,"Maximes pour se conduire dans le monde, par l'abbé Clément",,,Permitted work (permission simple)
spbk0010322,Maximes tirées de l'écriture sainte en latin et en français,,,Permitted work (permission simple)
spbk0010323,Maximes tirées du nouveau testament pout l'instruction de la jeunesse,,,Permitted work (permission simple)
spbk0010324,Médecine et chirigie des pauvres,,,Permitted work (permission simple)
spbk0010325,"Mémoires chronologiques et dogmatiques pour servir à l'histoire ecclésiastique depuis 1600, par le père d'Avrigny",,,Permitted work (permission simple)
spbk0010326,"Mémoires de Cécile, par M. de La Place",,,Permitted work (permission simple)
spbk0010327,"Mémoires de Gram[m]ont, par Hamilton",,,Permitted work (permission simple)
spbk0010328,"Mémoires de miladi Varmonti, comtesse de Barneshau",,,Permitted work (permission simple)
spbk0010329,Mémoires pour servir à l'histoire universelle de l'Europe depuis 1600 jusqu'en 1716,,,Permitted work (permission simple)
spbk0010330,Méthode excellente et facile à un chrétien pour honorer la sainte vierge,,,Permitted work (permission simple)
spbk0010331,"Méthode pour apprendre facilement à parler, lire et écrire l'angalis",,,Permitted work (permission simple)
spbk0010332,Méthode pour converser avec dieu,,,Permitted work (permission simple)
spbk0010333,"Méthode, ou Conduite chrétienne pour passer saintement la vie",,,Permitted work (permission simple)
spbk0010334,"Mille et un quart d'heure, contes tartares",,,Permitted work (permission simple)
spbk0010335,"Mille et une heure, contes péruviens",,,Permitted work (permission simple)
spbk0010336,"Mille et une soirées (Les ), contes mogols",,,Permitted work (permission simple)
spbk0010337,Missale defunctorum juxta usum sanctae romanae ecclesiae,,,Permitted work (permission simple)
spbk0010338,Mois de Marie (Le),,,Permitted work (permission simple)
spbk0010339,Monita et colloquia,,,Permitted work (permission simple)
spbk0010340,Morale chrétienne en forme de méditation et vie chrétienne,,,Permitted work (permission simple)
spbk0010341,"Morceaux d'Homère, d'Anacréon et d'Issocrate",,,Permitted work (permission simple)
spbk0010342,Moyens (Les) de connaître la vérité dans l'église,,,Permitted work (permission simple)
spbk0010343,New Testament / Nouveau Testament (Catholic editions),,,Permitted work (permission simple)
spbk0010344,Nouveau manuel du saint sacrement,,,Permitted work (permission simple)
spbk0010345,Nouveau missionaire du clergé,,,Permitted work (permission simple)
spbk0010346,Nouveau recueil de cantiques spirituels,,,Permitted work (permission simple)
spbk0010347,Nouveau traité de la civilité chrétienne,,,Permitted work (permission simple)
spbk0010348,Nouveaux rudimens à l'usage de Clermont-Ferrand,,,Permitted work (permission simple)
spbk0010349,Nouveaux rudimens de la langue latine,,,Permitted work (permission simple)
spbk0010350,"Nouvelle instructions, ou Style général de hussiers et sergents, etc",,,Permitted work (permission simple)
spbk0010351,Nouvelle journée du chrétien,,,Permitted work (permission simple)
spbk0010352,Nouvelle méthode pour la langue latine à l'usage des collèges,,,Permitted work (permission simple)
spbk0010353,"Nouvelle méthode, ou Nouveaux rudimen de la lange latine à l'usage du collège de Clermont",,,Permitted work (permission simple)
spbk0010354,"Nouvelle méthode, ou Particules à l'usage des collèges",,,Permitted work (permission simple)
spbk0010355,Oeuvres choisies,,,Permitted work (permission simple)
spbk0010356,"Oeuvres choisies de La Fontaine, sans les fables",,,Permitted work (permission simple)
spbk0010357,Oeuvres choisies de madame Deshoulières,,,Permitted work (permission simple)
spbk0010358,Oeuvres choisies de Piron,,,Permitted work (permission simple)
spbk0010360,"Oeuvres de Charles Dumoulin, augmentées des notes de Rassicot",,,Permitted work (permission simple)
spbk0010361,Oeuvres de madame Graffigny,,,Permitted work (permission simple)
spbk0010362,Oeuvres de Bossuet. Edition de Liège,,,Permitted work (permission simple)
spbk0010363,Oeuvres de Regnard,,,Permitted work (permission simple)
spbk0010364,Oeuvres de Ricard,,,Permitted work (permission simple)
spbk0010365,"Oeuvres du chancelier Bacon, précédées de sa vie",,,Permitted work (permission simple)
spbk0010366,Oeuvres spirituelles du père Vincent Huby de la compagnie de Jésus,,,Permitted work (permission simple)
spbk0010367,Office de la sainte mère de dieu,,,Permitted work (permission simple)
spbk0010368,Office de la sainte vierge suivi d'une méthode facile pour apprendre les lectures et prononciations françaises,,,Permitted work (permission simple)
spbk0010369,Office de la vierge à l'usage du Mans,,,Permitted work (permission simple)
spbk0010370,Office de la vierge Marie,,,Permitted work (permission simple)
spbk0010371,Office de notre dame à l'usage de Rome,,,Permitted work (permission simple)
spbk0010372,Office de notre dame à l'usage des écoles,,,Permitted work (permission simple)
spbk0010373,Office divin latin et français,,,Permitted work (permission simple)
spbk0010374,"Office du nom et couronnement de la sainte vierge, latin et français",,,Permitted work (permission simple)
spbk0010375,"Offices de l'église, latin et français, à l'usage de Rome",,,Permitted work (permission simple)
spbk0010376,Officina latinitatis,,,Permitted work (permission simple)
spbk0010377,Orationes ex Livio selectiones ad usum alumnorum,,,Permitted work (permission simple)
spbk0010378,"Orationes ex Sallustii, Livii, Curtii et Taciti historiis collectae",,,Permitted work (permission simple)
spbk0010379,Ordinaire de la messe,,,Permitted work (permission simple)
spbk0010380,Ordonnance de Louix XIV ... sur les gabelles,,,Permitted work (permission simple)
spbk0010381,"Ordonnance des testamens, donations et substitutions commentées par Serres",,,Permitted work (permission simple)
spbk0010382,Ordonnances de Lorraine,,,Permitted work (permission simple)
spbk0010383,Ordonnances des eaux et forêt ,,,Permitted work (permission simple)
spbk0010384,"Orlando in[n]amorato, di Matteo Mario Boiardo, rifato da Fr. Berni",,,Permitted work (permission simple)
spbk0010385,Ornemens de la mémoire,,,Permitted work (permission simple)
spbk0010386,Ouvrage de six jours,,,Permitted work (permission simple)
spbk0010387,"Ovidii flosculi, Choix de poésies d'Ovide",,,Permitted work (permission simple)
spbk0010388,Ovidii opera,,,Permitted work (permission simple)
spbk0010389,Palais (le) de l'amant divin,,,Permitted work (permission simple)
spbk0010390,Panégérique de La Rue et Oraisons funèbres,,,Permitted work (permission simple)
spbk0010391,Parabolae selectae é libris sapientiae,,,Permitted work (permission simple)
spbk0010392,Parfait adorateur (Le),,,Permitted work (permission simple)
spbk0010393,Parfait adorateur du coeur de J. [Jésus],,,Permitted work (permission simple)
spbk0010394,Paroissien (le) à l'usage de Sens et de Rome,,,Permitted work (permission simple)
spbk0010395,Particules de Bistac,,,Permitted work (permission simple)
spbk0010396,Particules et délices de la langue latine,,,Permitted work (permission simple)
spbk0010397,Passages de l'écriture sainte,,,Permitted work (permission simple)
spbk0010398,Paterculus (Caïus Velleius),,,Permitted work (permission simple)
spbk0010400,Pèlerinage d'un nouveau chrétien,,,Permitted work (permission simple)
spbk0010401,"Pensées chrétiennes, etc",,,Permitted work (permission simple)
spbk0010402,Pensées sur les plus importantes vérités de la religion et sur les principaux devoirs du Christianisme,,,Permitted work (permission simple)
spbk0010404,Pensez-y bien,,,Permitted work (permission simple)
spbk0010405,Perceptiones rhetoricae,,,Permitted work (permission simple)
spbk0010409,Petit dictionnaire de Joubert,,,Permitted work (permission simple)
spbk0010410,"Petit magasin (le) des enfans, etc",,,Permitted work (permission simple)
spbk0010411,Petit paradis (le) des âmes chrétiennes,,,Permitted work (permission simple)
spbk0010412,Petit parossien (le),,,Permitted work (permission simple)
spbk0010417,Petites heures dites de congrégation à l'usage des frères des écoles,,,Permitted work (permission simple)
spbk0010418,"Phaedri, Augusti Caesaris Liberti, fabularum Aesopiarum libri quinque",,,Permitted work (permission simple)
spbk0010419,Pieux chrétien (le) sanctifié par l'office divin,,,Permitted work (permission simple)
spbk0010420,Plinii Caecilii Secundi novocomensis panegyricus Nervae Trajano Augusto dictus,,,Permitted work (permission simple)
spbk0010421,Plinii secundi de viri illustribus,,,Permitted work (permission simple)
spbk0010422,"Plutarchi Apothegmata [Apophtegmata], selecta loca illustrium romanorum",,,Permitted work (permission simple)
spbk0010423,Poesie dramatiche di Apostolo Zeno,,,Permitted work (permission simple)
spbk0010424,Poésies de Sapho,,,Permitted work (permission simple)
spbk0010425,Pomponius Mela,,,Permitted work (permission simple)
spbk0010426,Praeceptiones rhetoricae par Crevier,,,Permitted work (permission simple)
spbk0010427,Praeceptiones rhetoricae variis exempl. Illustratae,,,Permitted work (permission simple)
spbk0010428,Pratique judiciaire de Lorraine avec les additions,,,Permitted work (permission simple)
spbk0010429,"Précis de la matière médicale, par Lieutaud",,,Permitted work (permission simple)
spbk0010430,"Précis de la médicine practique, par Lieutaud",,,Permitted work (permission simple)
spbk0010431,"Précis des ordonnances, édits [etc.] ... du parlement de Provence",,,Permitted work (permission simple)
spbk0010432,"Préfaces et dissertations sur la Bible, par dom calmet",,,Permitted work (permission simple)
spbk0010433,"Préparation à la mort, par le père Crasset",,,Permitted work (permission simple)
spbk0010434,"Prières à l'usage des écolières ... chez les religieuses de la Congrégation de notre dame, etc",,,Permitted work (permission simple)
spbk0010436,Prières de Sanadon,,,Permitted work (permission simple)
spbk0010437,Prières du pécheur pénitent,,,Permitted work (permission simple)
spbk0010438,"Prières et règles chrétiennes pour toutes les actions de la journée, etc",,,Permitted work (permission simple)
spbk0010439,"Principes de la grammaire, par Gaudin",,,Permitted work (permission simple)
spbk0010440,Principes de la langue latine,,,Permitted work (permission simple)
spbk0010441,Principes de la langue latine à l'usage des collèges,,,Permitted work (permission simple)
spbk0010442,"Principes de la pénitence, ou Vie des pénitens",,,Permitted work (permission simple)
spbk0010443,Principes de la vie spirituelle pour l'instruction de la jeunesse,,,Permitted work (permission simple)
spbk0010444,Principes de versification latine à l'usage des universités,,,Permitted work (permission simple)
spbk0010445,Prônes pour tous les dimanches de l'année,,,Permitted work (permission simple)
spbk0010446,Prosodia latina regulis brevissime comprehensa,,,Permitted work (permission simple)
spbk0010447,Prosodie latine du P. l'abbé,,,Permitted work (permission simple)
spbk0010448,Publii Terentii comoedius expurgata,,,Permitted work (permission simple)
spbk0010449,Quatre fins de l'homme (des),,,Permitted work (permission simple)
spbk0010450,Questions notable[s] du droit décidées ... du parlement de Toulouse,,,Permitted work (permission simple)
spbk0010451,"Questions sur l'ordonnance de 1667, par Rhodier",,,Permitted work (permission simple)
spbk0010452,"Racines grecques, par le P. Pomey",,,Permitted work (permission simple)
spbk0010453,Recherches sur le tissu muqueux,,,Permitted work (permission simple)
spbk0010455,Recueil de diverses pratiques de piété,,,Permitted work (permission simple)
spbk0010456,"Recueil de la noblesse de Bourgogne, Limbourg, Luxembourg, Gueldre etc.",,,Permitted work (permission simple)
spbk0010457,Recueil de particules,,,Permitted work (permission simple)
spbk0010458,"Recueil des ordonnances, édits et déclarations de Louis XV, etc",,,Permitted work (permission simple)
spbk0010459,Règlemens de la confrairie des hommes ... exigée en la paroisse de Moyenvit,,,Permitted work (permission simple)
spbk0010460,"Règlement de la vie, ou Pratique pour mener une vie réglée dans le monde",,,Permitted work (permission simple)
spbk0010462,Règles de la quantité du petit Behout,,,Permitted work (permission simple)
spbk0010463,Regrets d'une âme touchée d'avoir abusé de la sainteté du 'pater',,,Permitted work (permission simple)
spbk0010464,Regula cleri cum preparatione ad mortem,,,Permitted work (permission simple)
spbk0010465,"Regulae accentuum, par le père l'abé",,,Permitted work (permission simple)
spbk0010466,"Retrait sur les vertus de notre Sgr, J.C. [seigneur Jésus Christ]",,,Permitted work (permission simple)
spbk0010467,Retraite du père La Borde,,,Permitted work (permission simple)
spbk0010468,Rime (le) del Petrarca,,,Permitted work (permission simple)
spbk0010469,Petit rituel romain (le),,,Permitted work (permission simple)
spbk0010470,"Roman de la Rose, avec une préface et des notes",,,Permitted work (permission simple)
spbk0010471,Rudimens (les) ou principes élémentaires de la langue latine,,,Permitted work (permission simple)
spbk0010473,Rudimens à l'usage du collège d'Angers,,,Permitted work (permission simple)
spbk0010474,"Rudiments de la langue latine, par Bistac",,,Permitted work (permission simple)
spbk0010475,Sagasse de Charon,,,Permitted work (permission simple)
spbk0010476,Sages entretiens (les) d'une âme qui aime son salut,,,Permitted work (permission simple)
spbk0010477,Saint évangile de Jesus Christ expliqué en méditations pour chaque jour,,,Permitted work (permission simple)
spbk0010478,Saints exercices de la présence de dieu (les),,,Permitted work (permission simple)
spbk0010479,Sallustii (Caii) opera,,,Permitted work (permission simple)
spbk0010480,Secrets des arts et métiers,,,Permitted work (permission simple)
spbk0010481,"Selecta Ciceroniis precepta, avec notes",,,Permitted work (permission simple)
spbk0010482,Selecta latini sermonis exemplaria é scriptoribus probatissimis excerpta,,,Permitted work (permission simple)
spbk0010483,Bible stories / Selections from the Bible (Catholic editions),,,Permitted work (permission simple)
spbk0010484,"Selectae è profanis scriptoribus, & c., par Chompré",,,Permitted work (permission simple)
spbk0010485,Senecae naturalium questionum,,,Permitted work (permission simple)
spbk0010486,Sentiments de piété par le P. Cheminais,,,Permitted work (permission simple)
spbk0010487,Sentiments d'une âme pénitente sur le psaume 'Miserere',,,Permitted work (permission simple)
spbk0010488,Sermons de Bourdaloue,,,Permitted work (permission simple)
spbk0010489,Sermons de Bretonneau,,,Permitted work (permission simple)
spbk0010490,Sermons de Cheminais,,,Permitted work (permission simple)
spbk0010491,Sermons de Gaspard Terrasson,,,Permitted work (permission simple)
spbk0010492,Sermons de Giroust,,,Permitted work (permission simple)
spbk0010493,Sermons de La Boissière,,,Permitted work (permission simple)
spbk0010494,Sermons de La Roche,,,Permitted work (permission simple)
spbk0010495,Sermons de La Rue,,,Permitted work (permission simple)
spbk0010496,Sermons du père Humbert,,,Permitted work (permission simple)
spbk0010497,"Sévigniana (le), ou Recueil de pensées ingénieuses, anecdotes littéraires, etc",,,Permitted work (permission simple)
spbk0010498,Stations de Jérusalem (les) pour servir d'entretien sur la passion,,,Permitted work (permission simple)
spbk0010499,Sulpitius Severus,,,Permitted work (permission simple)
spbk0010500,Supplément à la bible dite Vence contenant les pièces nouvelles,,,Permitted work (permission simple)
spbk0010501,Syllabaire français à l'usage des écoles,,,Permitted work (permission simple)
spbk0010502,Synonima regis Parnassi,,,Permitted work (permission simple)
spbk0010503,Synonymes françois,,,Permitted work (permission simple)
spbk0010504,"Tableaux et oraisons de la sainte messe avec 35 figures, etc",,,Permitted work (permission simple)
spbk0010505,"Tarif d cubage des bois, etc, par Segondat",,,Permitted work (permission simple)
spbk0010506,Tarif pour cuber les bois quarrés [carrés] et ronds,,,Permitted work (permission simple)
spbk0010507,Terentii (Pub) Adelphi comediae,,,Permitted work (permission simple)
spbk0010508,Terentius cum notis Juvencii,,,Permitted work (permission simple)
spbk0010509,The Complette french Master for ladies and Gentlemen,,,Permitted work (permission simple)
spbk0010510,"Théodule, ou l'Enfant de bénédiction, modèle pour la jeunesse, etc",,,Permitted work (permission simple)
spbk0010511,Théologie morale d'Antoine,,,Permitted work (permission simple)
spbk0010512,"Tibulle, Catulle et Properce",,,Permitted work (permission simple)
spbk0010513,Titi Livii Patavini historiarum ab urbe conditâ decades,,,Permitted work (permission simple)
spbk0010514,Toisage des bois à la marque et selui des bâtiments,,,Permitted work (permission simple)
spbk0010515,"Traduction de Salluste, par M. d'Otteville",,,Permitted work (permission simple)
